IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.152.99	e4:54:e8:9d:0a:ac	0	0	0	0	0	0	0	0	0.0
172.17.152.177	78:45:c4:3e:1e:43	0	0	0	0	0	0	0	0	0.0
172.17.152.9	8c:85:c1:b5:3e:88	0	0	0	0	0	0	0	0	0.0
172.17.154.53	a4:bb:6d:89:a3:36	0	0	0	0	0	0	0	0	0.0
172.17.152.2	8c:85:c1:b5:c8:df	0	0	0	0	0	0	0	0	0.0
172.17.154.70	50:9a:4c:33:ad:60	0	0	0	0	0	0	0	0	0.0
172.17.154.28	8c:ec:4b:ce:e0:d2	0	0	0	0	0	0	0	0	0.0
172.17.153.248	8c:ec:4b:ce:aa:54	0	0	0	0	0	0	0	0	0.0
172.17.155.159	f0:b4:d2:e5:ab:df	0	0	0	0	0	0	0	0	0.0
172.17.154.198	8c:ec:4b:ce:a7:d0	0	0	0	0	0	0	0	0	0.0
172.17.155.54	8c:ec:4b:ce:e9:f4	0	0	0	0	0	0	0	0	0.0
172.17.153.177	8c:ec:4b:ce:e6:ee	0	0	0	0	0	0	0	0	0.0
172.17.154.78	8c:ec:4b:55:d6:cd	0	0	0	0	0	0	0	0	0.0
172.17.153.32	8c:ec:4b:ce:e0:d5	0	0	0	0	0	0	0	0	0.0
172.17.153.108	e4:54:e8:9d:0a:b4	0	0	0	0	0	0	0	0	0.0
172.17.153.1	8c:ec:4b:cb:a2:3a	0	0	0	0	0	0	0	0	0.0
172.17.158.150	50:eb:f6:df:ea:3e	0	0	0	0	0	0	0	0	0.0
172.17.155.128	8c:ec:4b:ce:a4:68	0	0	0	0	0	0	0	0	0.0
172.17.155.109	48:4d:7e:fa:b1:cd	0	0	0	0	0	0	0	0	0.0
172.17.155.168	8c:ec:4b:55:da:72	0	0	0	0	0	0	0	0	0.0
172.17.158.26	c0:25:a5:92:bc:f2	0	0	0	0	0	0	0	0	0.0
172.17.153.88	78:45:c4:3d:f5:93	0	0	0	0	0	0	0	0	0.0
172.17.155.20	8c:ec:4b:ce:a9:da	0	0	0	0	0	0	0	0	0.0
172.17.154.125	e4:a8:df:95:1b:f5	0	0	0	0	0	0	0	0	0.0
172.17.153.138	8c:ec:4b:ce:a4:42	0	0	0	0	0	0	0	0	0.0
172.17.152.239	8c:ec:4b:ce:5d:32	0	0	0	0	0	0	0	0	0.0
172.17.153.157	8c:ec:4b:ce:ab:5f	0	0	0	0	0	0	0	0	0.0
172.17.153.4	8c:ec:4b:ce:e6:3a	0	0	0	0	0	0	0	0	0.0
172.17.152.163	8c:ec:4b:cf:2a:7d	0	0	0	0	0	0	0	0	0.0
172.17.155.184	48:4d:7e:fa:db:11	0	0	0	0	0	0	0	0	0.0
172.17.157.20	8c:ec:4b:ce:b5:e2	0	0	0	0	0	0	0	0	0.0
172.17.153.105	8c:ec:4b:ce:b5:8e	0	0	0	0	0	0	0	0	0.0
172.17.157.196	04:42:1a:8c:e5:1d	0	0	0	0	0	0	0	0	0.0
172.17.155.103	48:4d:7e:e5:b3:46	0	0	0	0	0	0	0	0	0.0
172.17.155.202	8c:ec:4b:4a:15:c9	0	0	0	0	0	0	0	0	0.0
172.17.144.109	3c:d9:2b:07:0a:fe	0	0	0	0	0	0	0	0	0.0
172.17.144.110	3c:d9:2b:07:0b:00	0	0	0	0	0	0	0	0	0.0
172.17.144.111	3c:d9:2b:07:0b:02	0	0	0	0	0	0	0	0	0.0
172.17.156.14	3c:d9:2b:07:0b:04	0	0	0	0	0	0	0	0	0.0
172.17.152.89	b0:00:b4:58:5d:23	0	1	0	0	0	0	0	0	12.5
172.17.157.17	2c:3e:cf:fb:d1:46	0	0	0	0	0	0	0	0	0.0
172.17.153.86	e4:54:e8:9d:09:57	0	0	0	0	0	0	0	0	0.0
172.17.152.4	00:e0:4c:08:a9:e7	0	0	0	0	0	0	0	0	0.0
172.17.156.208	2c:3e:cf:fb:e0:1d	0	0	0	0	0	0	0	0	0.0
172.17.158.138	2c:3e:cf:fb:ea:15	0	0	0	0	0	0	0	0	0.0
172.17.153.53	8c:ec:4b:56:24:5e	0	0	0	0	0	0	0	0	0.0
